# F28 host profile of the DSpark decode generation thread (generate 1).
# CAVEAT: the F16 pipeline runs both row groups as greenlets ON this thread; cProfile keeps
#   profiling across greenlet switches, so a switched-out frame's time includes the partner's work.
# strip_dirs() is NOT applied: full paths distinguish staged vs pinned modules.

== top 80 by tottime ==
         74551436 function calls (72662512 primitive calls) in 68.838 seconds

   Ordered by: internal time
   List reduced from 811 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
123016/8349   24.910    0.000    0.584    0.000 {built-in method posix.preadv}
121952/7183    5.854    0.000  113.108    0.016 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
15363/576    3.969    0.000   62.376    0.108 <f16_yield_run>:1(run)
737122/299    1.921    0.000   66.281    0.222 {method 'acquire' of '_thread.lock' objects}
      328    1.749    0.005    1.749    0.005 {built-in method _posixsubprocess.fork_exec}
98363/8248    1.365    0.000   16.508    0.002 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
31461/15558    1.189    0.000   66.522    0.004 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:2014(_ensure_route_owned)
  215/192    0.936    0.004   85.588    0.446 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:883(pipelined_forward)
 107120/0    0.779    0.000    0.000          {method 'get' of '_queue.SimpleQueue' objects}
177785/16699    0.762    0.000   64.885    0.004 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:428(result)
    31454    0.609    0.000    0.829    0.000 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:170(gate_up)
    31454    0.547    0.000    0.671    0.000 <f16_yield_run>:25(finish)
    32188    0.473    0.000    0.646    0.000 <f16_yield_run>:15(submit_gu)
120824/12428    0.461    0.000   77.181    0.006 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
2877028/2876919    0.450    0.000    0.799    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:299(__enter__)
  3412637    0.448    0.000    0.448    0.000 {method 'get' of 'dict' objects}
    15360    0.365    0.000    0.760    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:1233(_sparse_attend_selected)
  2877028    0.358    0.000    0.495    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:302(__exit__)
30742/192    0.351    0.000   64.802    0.338 {method 'switch' of 'greenlet.greenlet' objects}
    30724    0.348    0.000    0.648    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:204(hc_split_sinkhorn)
    15360    0.337    0.000    0.475    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1285(_observe_transition_window)
   813114    0.335    0.000    0.561    0.000 {built-in method builtins.sum}
    15360    0.326    0.000   11.953    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1528(plan)
    12764    0.298    0.000    1.038    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1323(_transition_window_scores)
    15360    0.294    0.000    6.212    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1372(_transition_window_admissions)
    15360    0.288    0.000   14.654    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1759(plan_transaction)
    30723    0.276    0.000    0.276    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v4.py:1808(_hc_post_impl)
   163513    0.268    0.000    0.403    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:172(update)
   962735    0.259    0.000    0.531    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:394(notify)
      2/1    0.255    0.128    5.043    5.043 <hybrid_lookup_decode>:1(_decode_cycles)
32578/7599    0.251    0.000   42.516    0.006 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:100(run)
    70928    0.248    0.000    0.434    0.000 {built-in method numpy.fromiter}
  1223033    0.244    0.000    0.413    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1362(_transition_window_rank)
2200335/2200251    0.231    0.000    0.231    0.000 {method '__enter__' of '_thread.RLock' objects}
15362/15360    0.231    0.000   21.080    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:4127(begin_split_route)
   855492    0.226    0.000    0.748    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:424(notify_all)
   323667    0.216    0.000    0.303    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1219(_physical)
   229381    0.210    0.000    0.430    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:433(_complete_slot_claim)
   247060    0.207    0.000    0.304    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:277(__init__)
    83039    0.206    0.000    0.861    0.000 {built-in method builtins.sorted}
    30720    0.200    0.000    0.848    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3421(_mixes)
   229381    0.198    0.000    1.368    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:415(_finish_slot_claim)
98363/8248    0.196    0.000   17.511    0.002 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:111(read)
  4914140    0.189    0.000    0.189    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1347(<genexpr>)
  2776763    0.187    0.000    0.187    0.000 {method 'append' of 'list' objects}
  2954354    0.181    0.000    0.181    0.000 {method '__exit__' of '_thread.lock' objects}
121937/121835    0.171    0.000    0.721    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:165(submit)
    15936    0.162    0.000    0.201    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:271(__call__)
    79002    0.161    0.000  103.724    0.001 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:199(as_completed)
  2590825    0.159    0.000    0.159    0.000 {built-in method builtins.len}
32368/7597    0.157    0.000   47.303    0.006 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1411(_fill)
    30720    0.156    0.000    0.156    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_fused_proj_kernels.py:376(rope_heads)
   229381    0.153    0.000    0.501    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:426(_release_physical_claim)
497631/497380    0.152    0.000    0.216    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1152(_raise_completion_error)
    15360    0.151    0.000    2.280    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:1517(_attend)
196722/196704    0.150    0.000    0.389    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:575(_lease)
    46582    0.148    0.000    0.148    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:1603(_clamped_swiglu)
    46080    0.141    0.000    0.339    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:193(observe)
15944/1152    0.141    0.000   65.286    0.057 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:467(__call__)
31462/15558    0.141    0.000   67.516    0.004 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1923(_ensure_route_locked)
